entidad_normalizada,distrito
MICHOACAN,6
MICHOACAN,7
MICHOACAN,8
MICHOACAN,9
MICHOACAN,10
MICHOACAN,11
MORELOS,1
MORELOS,2
MORELOS,3
MORELOS,4
MORELOS,5
NAYARIT,1
NAYARIT,2
NAYARIT,3
NUEVO LEON,1
NUEVO LEON,2
NUEVO LEON,3
NUEVO LEON,4
NUEVO LEON,5
NUEVO LEON,6
NUEVO LEON,7
NUEVO LEON,8
NUEVO LEON,9
NUEVO LEON,10
NUEVO LEON,11
NUEVO LEON,12
NUEVO LEON,13
NUEVO LEON,14
OAXACA,1
OAXACA,2
OAXACA,3
OAXACA,4
OAXACA,5
OAXACA,6
OAXACA,7
OAXACA,8
OAXACA,9
OAXACA,10
PUEBLA,1
PUEBLA,2
PUEBLA,3
PUEBLA,4
PUEBLA,5
PUEBLA,6
PUEBLA,7
PUEBLA,8
PUEBLA,9
PUEBLA,10
PUEBLA,11
PUEBLA,12
PUEBLA,13
PUEBLA,14
PUEBLA,15
PUEBLA,16
QUERETARO,1
QUERETARO,2
QUERETARO,3
QUERETARO,4
QUERETARO,5
QUERETARO,6
QUINTANA ROO,1
QUINTANA ROO,2
QUINTANA ROO,3
QUINTANA ROO,4
SAN LUIS POTOSI,1
SAN LUIS POTOSI,2
SAN LUIS POTOSI,3
SAN LUIS POTOSI,4
SAN LUIS POTOSI,5
SAN LUIS POTOSI,6
SAN LUIS POTOSI,7
SINALOA,1
SINALOA,2
SINALOA,3
SINALOA,4
SINALOA,5
SINALOA,6
SINALOA,7
SONORA,1
SONORA,2
SONORA,3
SONORA,4
SONORA,5
SONORA,6
SONORA,7
TABASCO,1
TABASCO,2
TABASCO,3
TABASCO,4
TABASCO,5
TABASCO,6
TAMAULIPAS,1
TAMAULIPAS,2
TAMAULIPAS,3
TAMAULIPAS,4
TAMAULIPAS,5
TAMAULIPAS,6
TAMAULIPAS,7
TAMAULIPAS,8
TLAXCALA,1
TLAXCALA,2
TLAXCALA,3
VERACRUZ,1
VERACRUZ,2
VERACRUZ,3
VERACRUZ,4
VERACRUZ,5
VERACRUZ,6
VERACRUZ,7
VERACRUZ,8
VERACRUZ,9
VERACRUZ,10
VERACRUZ,11
VERACRUZ,12
VERACRUZ,13
VERACRUZ,14
VERACRUZ,15
VERACRUZ,16
VERACRUZ,17
VERACRUZ,18
VERACRUZ,19
YUCATAN,1
YUCATAN,2
YUCATAN,3
YUCATAN,4
YUCATAN,5
YUCATAN,6
ZACATECAS,1
ZACATECAS,2
ZACATECAS,3
ZACATECAS,4
