Año,Escenario,Partido,Votos_%,MR,PM,RP,Total,Diff_MORENA_MR,Diff_MORENA_PM,Diff_MORENA_RP,Diff_MORENA_Total,Escaños_%
2024,MR 300 - RP 100,PRI,11.59,9,0,12,21,25,0,5,30,5.25
2024,MR 300 - RP 100,PRD,2.54,1,0,0,1,25,0,5,30,0.25
2024,MR 300 - RP 100,PVEM,8.74,58,0,9,67,25,0,5,30,16.75
2024,MR 300 - RP 100,PT,5.69,38,0,6,44,25,0,5,30,11.0
2024,MR 300 - RP 100,MC,11.37,1,0,12,13,25,0,5,30,3.25
2024,MR 300 - RP 100,MORENA,42.49,160,0,43,203,25,0,5,30,50.75
2021,MR 200 - PM 200,PAN,18.93,39,48,0,87,30,-16,0,14,21.75
2021,MR 200 - PM 200,PRI,18.39,18,73,0,91,30,-16,0,14,22.75
2021,MR 200 - PM 200,PRD,3.78,0,6,0,6,30,-16,0,14,1.5
2021,MR 200 - PM 200,PVEM,5.64,2,11,0,13,30,-16,0,14,3.25
2021,MR 200 - PM 200,PT,3.37,0,0,0,0,30,-16,0,14,0.0
2021,MR 200 - PM 200,MC,7.28,10,12,0,22,30,-16,0,14,5.5
2021,MR 200 - PM 200,MORENA,35.36,131,46,0,177,30,-16,0,14,44.25
2021,MR 200 - PM 200,PES,2.85,0,4,0,4,30,-16,0,14,1.0
2021,MR 200 - PM 200,RSP,1.83,0,0,0,0,30,-16,0,14,0.0
2021,MR 200 - PM 200,FXM,2.57,0,0,0,0,30,-16,0,14,0.0
2024,MR 200 - PM 200,PAN,17.58,25,70,0,95,30,-16,0,14,23.75
2024,MR 200 - PM 200,PRI,11.59,4,37,0,41,30,-16,0,14,10.25
2024,MR 200 - PM 200,PRD,2.54,0,1,0,1,30,-16,0,14,0.25
2024,MR 200 - PM 200,PVEM,8.74,4,18,0,22,30,-16,0,14,5.5
2024,MR 200 - PM 200,PT,5.69,0,10,0,10,30,-16,0,14,2.5
2024,MR 200 - PM 200,MC,11.37,6,34,0,40,30,-16,0,14,10.0
2024,MR 200 - PM 200,MORENA,42.49,161,30,0,191,30,-16,0,14,47.75
2021,MR 300 - PM 100,PAN,18.93,71,24,0,95,25,-8,0,17,23.75
2021,MR 300 - PM 100,PRI,18.39,29,37,0,66,25,-8,0,17,16.5
2021,MR 300 - PM 100,PRD,3.78,2,3,0,5,25,-8,0,17,1.25
2021,MR 300 - PM 100,PVEM,5.64,26,5,0,31,25,-8,0,17,7.75
2021,MR 300 - PM 100,PT,3.37,29,0,0,29,25,-8,0,17,7.25
2021,MR 300 - PM 100,MC,7.28,8,6,0,14,25,-8,0,17,3.5
2021,MR 300 - PM 100,MORENA,35.36,135,23,0,158,25,-8,0,17,39.5
2021,MR 300 - PM 100,PES,2.85,0,2,0,2,25,-8,0,17,0.5
2021,MR 300 - PM 100,RSP,1.83,0,0,0,0,25,-8,0,17,0.0
2021,MR 300 - PM 100,FXM,2.57,0,0,0,0,25,-8,0,17,0.0
2024,MR 300 - PM 100,PAN,17.58,33,35,0,68,25,-8,0,17,17.0
2024,MR 300 - PM 100,PRI,11.59,9,19,0,28,25,-8,0,17,7.0
2024,MR 300 - PM 100,PRD,2.54,1,0,0,1,25,-8,0,17,0.25
2024,MR 300 - PM 100,PVEM,8.74,58,9,0,67,25,-8,0,17,16.75
2024,MR 300 - PM 100,PT,5.69,38,5,0,43,25,-8,0,17,10.75
2024,MR 300 - PM 100,MC,11.37,1,17,0,18,25,-8,0,17,4.5
2024,MR 300 - PM 100,MORENA,42.49,160,15,0,175,25,-8,0,17,43.75
2021,MR 200 - RP 200,COALICIÓN MORENA+PT+PVEM,44.37,133,0,95,228,30,0,11,41,57.0
2021,MR 200 - RP 200,COALICIÓN PAN+PRI+PRD,41.1,57,0,89,146,30,0,11,41,36.5
2024,MR 200 - RP 200,COALICIÓN MORENA+PT+PVEM,56.92,165,0,117,282,30,0,11,41,70.5
2024,MR 200 - RP 200,COALICIÓN PAN+PRI+PRD,31.709999999999997,29,0,60,89,30,0,11,41,22.25
2021,MR 300 - RP 100,COALICIÓN MORENA+PT+PVEM,44.37,190,0,48,238,25,0,5,30,59.5
2021,MR 300 - RP 100,COALICIÓN PAN+PRI+PRD,41.1,102,0,44,146,25,0,5,30,36.5
2024,MR 300 - RP 100,COALICIÓN MORENA+PT+PVEM,56.92,256,0,58,314,25,0,5,30,78.5
2024,MR 300 - RP 100,COALICIÓN PAN+PRI+PRD,31.709999999999997,43,0,30,73,25,0,5,30,18.25
2021,MR 200 - PM 200,COALICIÓN MORENA+PT+PVEM,44.37,133,57,0,190,30,-16,0,14,47.5
2021,MR 200 - PM 200,COALICIÓN PAN+PRI+PRD,41.1,57,127,0,184,30,-16,0,14,46.0
2024,MR 200 - PM 200,COALICIÓN MORENA+PT+PVEM,56.92,165,58,0,223,30,-16,0,14,55.75
2024,MR 200 - PM 200,COALICIÓN PAN+PRI+PRD,31.709999999999997,29,108,0,137,30,-16,0,14,34.25
2021,MR 300 - PM 100,COALICIÓN MORENA+PT+PVEM,44.37,190,28,0,218,25,-8,0,17,54.5
2021,MR 300 - PM 100,COALICIÓN PAN+PRI+PRD,41.1,102,64,0,166,25,-8,0,17,41.5
2024,MR 300 - PM 100,COALICIÓN MORENA+PT+PVEM,56.92,256,29,0,285,25,-8,0,17,71.25
2024,MR 300 - PM 100,COALICIÓN PAN+PRI+PRD,31.709999999999997,43,54,0,97,25,-8,0,17,24.25
