Año,Escenario,Partido,Votos_%,MR,PM,RP,Total,Diff_MORENA_MR,Diff_MORENA_PM,Diff_MORENA_RP,Diff_MORENA_Total
2024,MR 300 - RP 100,MC,11.37,1,0,12,13,25,0,3,28
2024,MR 300 - RP 100,MORENA,42.49,160,0,41,201,25,0,3,28
2021,MR 200 - PM 200,PAN,18.93,39,48,0,87,30,-16,0,14
2021,MR 200 - PM 200,PRI,18.39,18,73,0,91,30,-16,0,14
2021,MR 200 - PM 200,PRD,3.78,0,6,0,6,30,-16,0,14
2021,MR 200 - PM 200,PVEM,5.64,2,11,0,13,30,-16,0,14
2021,MR 200 - PM 200,PT,3.37,0,0,0,0,30,-16,0,14
2021,MR 200 - PM 200,MC,7.28,10,12,0,22,30,-16,0,14
2021,MR 200 - PM 200,MORENA,35.36,131,46,0,177,30,-16,0,14
2021,MR 200 - PM 200,PES,2.85,0,4,0,4,30,-16,0,14
2021,MR 200 - PM 200,RSP,1.83,0,0,0,0,30,-16,0,14
2021,MR 200 - PM 200,FXM,2.57,0,0,0,0,30,-16,0,14
2024,MR 200 - PM 200,PAN,17.58,25,70,0,95,30,-16,0,14
2024,MR 200 - PM 200,PRI,11.59,4,37,0,41,30,-16,0,14
2024,MR 200 - PM 200,PRD,2.54,0,1,0,1,30,-16,0,14
2024,MR 200 - PM 200,PVEM,8.74,4,18,0,22,30,-16,0,14
2024,MR 200 - PM 200,PT,5.69,0,10,0,10,30,-16,0,14
2024,MR 200 - PM 200,MC,11.37,6,34,0,40,30,-16,0,14
2024,MR 200 - PM 200,MORENA,42.49,161,30,0,191,30,-16,0,14
2021,MR 300 - PM 100,PAN,18.93,71,24,0,95,25,-8,0,17
2021,MR 300 - PM 100,PRI,18.39,29,37,0,66,25,-8,0,17
2021,MR 300 - PM 100,PRD,3.78,2,3,0,5,25,-8,0,17
2021,MR 300 - PM 100,PVEM,5.64,26,5,0,31,25,-8,0,17
2021,MR 300 - PM 100,PT,3.37,29,0,0,29,25,-8,0,17
2021,MR 300 - PM 100,MC,7.28,8,6,0,14,25,-8,0,17
2021,MR 300 - PM 100,MORENA,35.36,135,23,0,158,25,-8,0,17
2021,MR 300 - PM 100,PES,2.85,0,2,0,2,25,-8,0,17
2021,MR 300 - PM 100,RSP,1.83,0,0,0,0,25,-8,0,17
2021,MR 300 - PM 100,FXM,2.57,0,0,0,0,25,-8,0,17
2024,MR 300 - PM 100,PAN,17.58,33,35,0,68,25,-8,0,17
2024,MR 300 - PM 100,PRI,11.59,9,19,0,28,25,-8,0,17
2024,MR 300 - PM 100,PRD,2.54,1,0,0,1,25,-8,0,17
2024,MR 300 - PM 100,PVEM,8.74,58,9,0,67,25,-8,0,17
2024,MR 300 - PM 100,PT,5.69,38,5,0,43,25,-8,0,17
2024,MR 300 - PM 100,MC,11.37,1,17,0,18,25,-8,0,17
2024,MR 300 - PM 100,MORENA,42.49,160,15,0,175,25,-8,0,17
2021,MR 200 - RP 200,COALICIÓN MORENA+PT+PVEM,44.37,133,0,70,203,30,0,-2,28
2021,MR 200 - RP 200,COALICIÓN PAN+PRI+PRD,41.1,57,0,110,167,30,0,-2,28
2024,MR 200 - RP 200,COALICIÓN MORENA+PT+PVEM,56.92,165,0,93,258,30,0,-2,28
2024,MR 200 - RP 200,COALICIÓN PAN+PRI+PRD,31.709999999999997,29,0,81,110,30,0,-2,28
2021,MR 300 - RP 100,COALICIÓN MORENA+PT+PVEM,44.37,190,0,48,238,25,0,3,28
2021,MR 300 - RP 100,COALICIÓN PAN+PRI+PRD,41.1,102,0,44,146,25,0,3,28
2024,MR 300 - RP 100,COALICIÓN MORENA+PT+PVEM,56.92,256,0,55,311,25,0,3,28
2024,MR 300 - RP 100,COALICIÓN PAN+PRI+PRD,31.709999999999997,43,0,33,76,25,0,3,28
2021,MR 200 - PM 200,COALICIÓN MORENA+PT+PVEM,44.37,133,57,0,190,30,-16,0,14
2021,MR 200 - PM 200,COALICIÓN PAN+PRI+PRD,41.1,57,127,0,184,30,-16,0,14
2024,MR 200 - PM 200,COALICIÓN MORENA+PT+PVEM,56.92,165,58,0,223,30,-16,0,14
2024,MR 200 - PM 200,COALICIÓN PAN+PRI+PRD,31.709999999999997,29,108,0,137,30,-16,0,14
2021,MR 300 - PM 100,COALICIÓN MORENA+PT+PVEM,44.37,190,28,0,218,25,-8,0,17
2021,MR 300 - PM 100,COALICIÓN PAN+PRI+PRD,41.1,102,64,0,166,25,-8,0,17
2024,MR 300 - PM 100,COALICIÓN MORENA+PT+PVEM,56.92,256,29,0,285,25,-8,0,17
2024,MR 300 - PM 100,COALICIÓN PAN+PRI+PRD,31.709999999999997,43,54,0,97,25,-8,0,17
