entidad,entidad_ascii,distrito,coalicion,grupo_parlamentario,partido_origen,_ENT_N
CHIHUAHUA,CHIHUAHUA,6,FUERZA Y CORAZON POR MEXICO,PAN,,CHIHUAHUA
CHIHUAHUA,CHIHUAHUA,7,FUERZA Y CORAZON POR MEXICO,PAN,,CHIHUAHUA
CHIHUAHUA,CHIHUAHUA,8,FUERZA Y CORAZON POR MEXICO,PRI,,CHIHUAHUA
CHIHUAHUA,CHIHUAHUA,9,FUERZA Y CORAZON POR MEXICO,PRI,,CHIHUAHUA
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,1,FUERZA Y CORAZON POR MEXICO,PAN,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,2,FUERZA Y CORAZON POR MEXICO,PRI,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,3,FUERZA Y CORAZON POR MEXICO,PAN,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,4,FUERZA Y CORAZON POR MEXICO,PAN,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,5,FUERZA Y CORAZON POR MEXICO,PRI,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,6,FUERZA Y CORAZON POR MEXICO,PAN,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,7,FUERZA Y CORAZON POR MEXICO,PRD,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,8,FUERZA Y CORAZON POR MEXICO,PAN,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,9,FUERZA Y CORAZON POR MEXICO,PRI,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,10,FUERZA Y CORAZON POR MEXICO,PAN,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,11,FUERZA Y CORAZON POR MEXICO,PRD,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,12,FUERZA Y CORAZON POR MEXICO,PRD,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,13,FUERZA Y CORAZON POR MEXICO,PRD,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,14,FUERZA Y CORAZON POR MEXICO,PRD,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,15,FUERZA Y CORAZON POR MEXICO,PAN,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,16,FUERZA Y CORAZON POR MEXICO,PRI,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,17,FUERZA Y CORAZON POR MEXICO,PAN,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,18,FUERZA Y CORAZON POR MEXICO,PRD,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,19,FUERZA Y CORAZON POR MEXICO,PAN,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,20,FUERZA Y CORAZON POR MEXICO,PRD,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,21,FUERZA Y CORAZON POR MEXICO,PRI,,CIUDAD DE MEXICO
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,22,FUERZA Y CORAZON POR MEXICO,PRD,,CIUDAD DE MEXICO
COAHUILA,COAHUILA,1,FUERZA Y CORAZON POR MEXICO,PRI,,COAHUILA
COAHUILA,COAHUILA,2,FUERZA Y CORAZON POR MEXICO,PRI,,COAHUILA
COAHUILA,COAHUILA,3,FUERZA Y CORAZON POR MEXICO,PAN,,COAHUILA
COAHUILA,COAHUILA,4,FUERZA Y CORAZON POR MEXICO,PRI,,COAHUILA
COAHUILA,COAHUILA,5,FUERZA Y CORAZON POR MEXICO,PAN,,COAHUILA
COAHUILA,COAHUILA,6,FUERZA Y CORAZON POR MEXICO,PRI,,COAHUILA
COAHUILA,COAHUILA,7,FUERZA Y CORAZON POR MEXICO,PRI,,COAHUILA
COAHUILA,COAHUILA,8,FUERZA Y CORAZON POR MEXICO,PRD,,COAHUILA
COLIMA,COLIMA,1,FUERZA Y CORAZON POR MEXICO,PAN,,COLIMA
COLIMA,COLIMA,2,FUERZA Y CORAZON POR MEXICO,PRI,,COLIMA
DURANGO,DURANGO,1,FUERZA Y CORAZON POR MEXICO,PAN,,DURANGO
DURANGO,DURANGO,2,FUERZA Y CORAZON POR MEXICO,PRI,,DURANGO
DURANGO,DURANGO,3,FUERZA Y CORAZON POR MEXICO,PRD,,DURANGO
DURANGO,DURANGO,4,FUERZA Y CORAZON POR MEXICO,PAN,,DURANGO
GUANAJUATO,GUANAJUATO,1,FUERZA Y CORAZON POR MEXICO,PRI,,GUANAJUATO
GUANAJUATO,GUANAJUATO,2,FUERZA Y CORAZON POR MEXICO,PAN,,GUANAJUATO
GUANAJUATO,GUANAJUATO,3,FUERZA Y CORAZON POR MEXICO,PAN,,GUANAJUATO
GUANAJUATO,GUANAJUATO,7,FUERZA Y CORAZON POR MEXICO,PAN,,GUANAJUATO
GUANAJUATO,GUANAJUATO,5,FUERZA Y CORAZON POR MEXICO,PAN,,GUANAJUATO
GUANAJUATO,GUANAJUATO,8,FUERZA Y CORAZON POR MEXICO,PRD,,GUANAJUATO
GUANAJUATO,GUANAJUATO,9,FUERZA Y CORAZON POR MEXICO,PAN,,GUANAJUATO
GUANAJUATO,GUANAJUATO,10,FUERZA Y CORAZON POR MEXICO,PAN,,GUANAJUATO
GUANAJUATO,GUANAJUATO,12,FUERZA Y CORAZON POR MEXICO,PAN,,GUANAJUATO
GUANAJUATO,GUANAJUATO,13,FUERZA Y CORAZON POR MEXICO,PRI,,GUANAJUATO
GUANAJUATO,GUANAJUATO,14,FUERZA Y CORAZON POR MEXICO,PAN,,GUANAJUATO
GUANAJUATO,GUANAJUATO,15,FUERZA Y CORAZON POR MEXICO,PAN,,GUANAJUATO
GUERRERO,GUERRERO,1,FUERZA Y CORAZON POR MEXICO,PRI,,GUERRERO
GUERRERO,GUERRERO,2,FUERZA Y CORAZON POR MEXICO,PRD,,GUERRERO
GUERRERO,GUERRERO,3,FUERZA Y CORAZON POR MEXICO,PRD,,GUERRERO
GUERRERO,GUERRERO,4,FUERZA Y CORAZON POR MEXICO,PRD,,GUERRERO
GUERRERO,GUERRERO,5,FUERZA Y CORAZON POR MEXICO,PRD,,GUERRERO
GUERRERO,GUERRERO,6,FUERZA Y CORAZON POR MEXICO,PRI,,GUERRERO
GUERRERO,GUERRERO,7,FUERZA Y CORAZON POR MEXICO,PAN,,GUERRERO
GUERRERO,GUERRERO,8,FUERZA Y CORAZON POR MEXICO,PRI,,GUERRERO
HIDALGO,HIDALGO,1,FUERZA Y CORAZON POR MEXICO,PRI,,HIDALGO
HIDALGO,HIDALGO,2,FUERZA Y CORAZON POR MEXICO,PRD,,HIDALGO
HIDALGO,HIDALGO,3,FUERZA Y CORAZON POR MEXICO,PRD,PAN|PRD|PRI,HIDALGO
HIDALGO,HIDALGO,4,FUERZA Y CORAZON POR MEXICO,PRI,,HIDALGO
HIDALGO,HIDALGO,5,FUERZA Y CORAZON POR MEXICO,PAN,,HIDALGO
HIDALGO,HIDALGO,6,FUERZA Y CORAZON POR MEXICO,PRI,,HIDALGO
HIDALGO,HIDALGO,7,FUERZA Y CORAZON POR MEXICO,PRI,,HIDALGO
JALISCO,JALISCO,1,FUERZA Y CORAZON POR MEXICO,PAN,,JALISCO
JALISCO,JALISCO,2,FUERZA Y CORAZON POR MEXICO,PAN,,JALISCO
JALISCO,JALISCO,3,FUERZA Y CORAZON POR MEXICO,PAN,,JALISCO
JALISCO,JALISCO,4,FUERZA Y CORAZON POR MEXICO,PRI,,JALISCO
JALISCO,JALISCO,5,FUERZA Y CORAZON POR MEXICO,PRI,,JALISCO
JALISCO,JALISCO,6,FUERZA Y CORAZON POR MEXICO,PAN,,JALISCO
JALISCO,JALISCO,7,FUERZA Y CORAZON POR MEXICO,PRI,,JALISCO
JALISCO,JALISCO,8,FUERZA Y CORAZON POR MEXICO,PAN,,JALISCO
JALISCO,JALISCO,9,FUERZA Y CORAZON POR MEXICO,PRI,,JALISCO
JALISCO,JALISCO,10,FUERZA Y CORAZON POR MEXICO,PAN,,JALISCO
JALISCO,JALISCO,14,FUERZA Y CORAZON POR MEXICO,PRD,,JALISCO
JALISCO,JALISCO,12,FUERZA Y CORAZON POR MEXICO,PRD,,JALISCO
JALISCO,JALISCO,11,FUERZA Y CORAZON POR MEXICO,PRI,,JALISCO
JALISCO,JALISCO,13,FUERZA Y CORAZON POR MEXICO,PRI,,JALISCO
JALISCO,JALISCO,15,FUERZA Y CORAZON POR MEXICO,PAN,,JALISCO
JALISCO,JALISCO,16,FUERZA Y CORAZON POR MEXICO,PAN,,JALISCO
JALISCO,JALISCO,17,FUERZA Y CORAZON POR MEXICO,PAN,,JALISCO
JALISCO,JALISCO,18,FUERZA Y CORAZON POR MEXICO,PRI,,JALISCO
JALISCO,JALISCO,19,FUERZA Y CORAZON POR MEXICO,PRI,,JALISCO
JALISCO,JALISCO,20,FUERZA Y CORAZON POR MEXICO,PAN,,JALISCO
MEXICO,MEXICO,1,FUERZA Y CORAZON POR MEXICO,PRI,,MEXICO
MEXICO,MEXICO,2,FUERZA Y CORAZON POR MEXICO,PRD,,MEXICO
MEXICO,MEXICO,3,FUERZA Y CORAZON POR MEXICO,PRI,,MEXICO
MEXICO,MEXICO,4,FUERZA Y CORAZON POR MEXICO,PAN,,MEXICO
MEXICO,MEXICO,5,FUERZA Y CORAZON POR MEXICO,PAN,,MEXICO
MEXICO,MEXICO,6,FUERZA Y CORAZON POR MEXICO,PAN,,MEXICO
MEXICO,MEXICO,7,FUERZA Y CORAZON POR MEXICO,PAN,,MEXICO
MEXICO,MEXICO,8,FUERZA Y CORAZON POR MEXICO,PRI,,MEXICO
MEXICO,MEXICO,9,FUERZA Y CORAZON POR MEXICO,PRI,,MEXICO
MEXICO,MEXICO,10,FUERZA Y CORAZON POR MEXICO,PRI,,MEXICO
MEXICO,MEXICO,11,FUERZA Y CORAZON POR MEXICO,PRD,PAN|PRD|PRI,MEXICO
MEXICO,MEXICO,12,FUERZA Y CORAZON POR MEXICO,PRI,,MEXICO
MEXICO,MEXICO,13,FUERZA Y CORAZON POR MEXICO,PAN,,MEXICO
MEXICO,MEXICO,14,FUERZA Y CORAZON POR MEXICO,PRI,,MEXICO
MEXICO,MEXICO,15,FUERZA Y CORAZON POR MEXICO,PAN,,MEXICO
MEXICO,MEXICO,16,FUERZA Y CORAZON POR MEXICO,PRI,,MEXICO
MEXICO,MEXICO,17,FUERZA Y CORAZON POR MEXICO,PRI,,MEXICO
MEXICO,MEXICO,18,FUERZA Y CORAZON POR MEXICO,PAN,,MEXICO
MEXICO,MEXICO,19,FUERZA Y CORAZON POR MEXICO,PAN,,MEXICO
MEXICO,MEXICO,20,FUERZA Y CORAZON POR MEXICO,PRI,,MEXICO
MEXICO,MEXICO,21,FUERZA Y CORAZON POR MEXICO,PAN,,MEXICO
MEXICO,MEXICO,22,FUERZA Y CORAZON POR MEXICO,PAN,,MEXICO
MEXICO,MEXICO,23,FUERZA Y CORAZON POR MEXICO,PRI,,MEXICO
MEXICO,MEXICO,24,FUERZA Y CORAZON POR MEXICO,PAN,,MEXICO
MEXICO,MEXICO,26,FUERZA Y CORAZON POR MEXICO,PRI,,MEXICO
MEXICO,MEXICO,27,FUERZA Y CORAZON POR MEXICO,PRI,,MEXICO
MEXICO,MEXICO,28,FUERZA Y CORAZON POR MEXICO,PRD,,MEXICO
MEXICO,MEXICO,29,FUERZA Y CORAZON POR MEXICO,PRD,PAN|PRD|PRI,MEXICO
MEXICO,MEXICO,30,FUERZA Y CORAZON POR MEXICO,PRI,,MEXICO
MEXICO,MEXICO,31,FUERZA Y CORAZON POR MEXICO,PRD,PAN|PRD|PRI,MEXICO
MEXICO,MEXICO,33,FUERZA Y CORAZON POR MEXICO,PRI,,MEXICO
MEXICO,MEXICO,34,FUERZA Y CORAZON POR MEXICO,PAN,,MEXICO
MEXICO,MEXICO,35,FUERZA Y CORAZON POR MEXICO,PAN,,MEXICO
MEXICO,MEXICO,36,FUERZA Y CORAZON POR MEXICO,PRI,,MEXICO
MEXICO,MEXICO,37,FUERZA Y CORAZON POR MEXICO,PAN,,MEXICO
MEXICO,MEXICO,38,FUERZA Y CORAZON POR MEXICO,PRD,,MEXICO
MEXICO,MEXICO,39,FUERZA Y CORAZON POR MEXICO,PRI,,MEXICO
MEXICO,MEXICO,40,FUERZA Y CORAZON POR MEXICO,PAN,,MEXICO
MICHOACÁN,MICHOACAN,1,FUERZA Y CORAZON POR MEXICO,PRI,,MICHOACAN
MICHOACÁN,MICHOACAN,2,FUERZA Y CORAZON POR MEXICO,PRD,PAN|PRD|PRI,MICHOACAN
MICHOACÁN,MICHOACAN,3,FUERZA Y CORAZON POR MEXICO,PRD,,MICHOACAN
MICHOACÁN,MICHOACAN,4,FUERZA Y CORAZON POR MEXICO,PAN,,MICHOACAN
MICHOACÁN,MICHOACAN,5,FUERZA Y CORAZON POR MEXICO,PAN,,MICHOACAN
MICHOACÁN,MICHOACAN,6,FUERZA Y CORAZON POR MEXICO,PRI,,MICHOACAN
MICHOACÁN,MICHOACAN,7,FUERZA Y CORAZON POR MEXICO,PRD,,MICHOACAN
MICHOACÁN,MICHOACAN,8,FUERZA Y CORAZON POR MEXICO,PRI,,MICHOACAN
MICHOACÁN,MICHOACAN,9,FUERZA Y CORAZON POR MEXICO,PAN,,MICHOACAN
MICHOACÁN,MICHOACAN,10,FUERZA Y CORAZON POR MEXICO,PAN,,MICHOACAN
MICHOACÁN,MICHOACAN,11,FUERZA Y CORAZON POR MEXICO,PRD,,MICHOACAN
MORELOS,MORELOS,1,FUERZA Y CORAZON POR MEXICO,PAN,,MORELOS
MORELOS,MORELOS,2,FUERZA Y CORAZON POR MEXICO,PAN,,MORELOS
MORELOS,MORELOS,3,FUERZA Y CORAZON POR MEXICO,PRD,,MORELOS
MORELOS,MORELOS,4,FUERZA Y CORAZON POR MEXICO,PRD,,MORELOS
MORELOS,MORELOS,5,FUERZA Y CORAZON POR MEXICO,PRI,,MORELOS
NAYARIT,NAYARIT,1,FUERZA Y CORAZON POR MEXICO,PRI,,NAYARIT
NAYARIT,NAYARIT,2,FUERZA Y CORAZON POR MEXICO,PRD,,NAYARIT
NAYARIT,NAYARIT,3,FUERZA Y CORAZON POR MEXICO,PAN,,NAYARIT
NUEVO LEÓN,NUEVO LEON,1,FUERZA Y CORAZON POR MEXICO,PAN,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,2,FUERZA Y CORAZON POR MEXICO,PRI,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,3,FUERZA Y CORAZON POR MEXICO,PAN,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,4,FUERZA Y CORAZON POR MEXICO,PAN,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,5,FUERZA Y CORAZON POR MEXICO,PRI,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,6,FUERZA Y CORAZON POR MEXICO,PAN,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,7,FUERZA Y CORAZON POR MEXICO,PRD,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,8,FUERZA Y CORAZON POR MEXICO,PRI,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,9,FUERZA Y CORAZON POR MEXICO,PRI,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,10,FUERZA Y CORAZON POR MEXICO,PRI,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,11,FUERZA Y CORAZON POR MEXICO,PAN,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,12,FUERZA Y CORAZON POR MEXICO,PRI,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,13,FUERZA Y CORAZON POR MEXICO,PAN,,NUEVO LEON
NUEVO LEÓN,NUEVO LEON,14,FUERZA Y CORAZON POR MEXICO,PAN,,NUEVO LEON
OAXACA,OAXACA,1,FUERZA Y CORAZON POR MEXICO,PRI,,OAXACA
OAXACA,OAXACA,2,FUERZA Y CORAZON POR MEXICO,PRD,,OAXACA
OAXACA,OAXACA,3,FUERZA Y CORAZON POR MEXICO,PAN,,OAXACA
OAXACA,OAXACA,4,FUERZA Y CORAZON POR MEXICO,PRI,,OAXACA
OAXACA,OAXACA,5,FUERZA Y CORAZON POR MEXICO,PAN,,OAXACA
OAXACA,OAXACA,6,FUERZA Y CORAZON POR MEXICO,PRI,,OAXACA
OAXACA,OAXACA,7,FUERZA Y CORAZON POR MEXICO,PRI,,OAXACA
OAXACA,OAXACA,8,FUERZA Y CORAZON POR MEXICO,PRI,,OAXACA
OAXACA,OAXACA,9,FUERZA Y CORAZON POR MEXICO,PRD,,OAXACA
OAXACA,OAXACA,10,FUERZA Y CORAZON POR MEXICO,PAN,,OAXACA
PUEBLA,PUEBLA,1,FUERZA Y CORAZON POR MEXICO,PRI,,PUEBLA
PUEBLA,PUEBLA,2,FUERZA Y CORAZON POR MEXICO,PRI,,PUEBLA
PUEBLA,PUEBLA,3,FUERZA Y CORAZON POR MEXICO,PRI,,PUEBLA
PUEBLA,PUEBLA,4,FUERZA Y CORAZON POR MEXICO,PRI,,PUEBLA
PUEBLA,PUEBLA,5,FUERZA Y CORAZON POR MEXICO,PRD,,PUEBLA
PUEBLA,PUEBLA,6,FUERZA Y CORAZON POR MEXICO,PRD,,PUEBLA
PUEBLA,PUEBLA,7,FUERZA Y CORAZON POR MEXICO,PRD,,PUEBLA
PUEBLA,PUEBLA,8,FUERZA Y CORAZON POR MEXICO,PRI,,PUEBLA
PUEBLA,PUEBLA,9,FUERZA Y CORAZON POR MEXICO,PAN,,PUEBLA
PUEBLA,PUEBLA,11,FUERZA Y CORAZON POR MEXICO,PRI,,PUEBLA
PUEBLA,PUEBLA,12,FUERZA Y CORAZON POR MEXICO,PAN,,PUEBLA
PUEBLA,PUEBLA,10,FUERZA Y CORAZON POR MEXICO,PAN,,PUEBLA
PUEBLA,PUEBLA,13,FUERZA Y CORAZON POR MEXICO,PAN,,PUEBLA
PUEBLA,PUEBLA,14,FUERZA Y CORAZON POR MEXICO,PRI,,PUEBLA
PUEBLA,PUEBLA,15,FUERZA Y CORAZON POR MEXICO,PAN,,PUEBLA
PUEBLA,PUEBLA,16,FUERZA Y CORAZON POR MEXICO,PRD,,PUEBLA
QUERÉTARO,QUERETARO,1,FUERZA Y CORAZON POR MEXICO,PRI,,QUERETARO
QUERÉTARO,QUERETARO,2,FUERZA Y CORAZON POR MEXICO,PAN,,QUERETARO
QUERÉTARO,QUERETARO,3,FUERZA Y CORAZON POR MEXICO,PAN,,QUERETARO
QUERÉTARO,QUERETARO,4,FUERZA Y CORAZON POR MEXICO,PAN,,QUERETARO
QUERÉTARO,QUERETARO,5,FUERZA Y CORAZON POR MEXICO,PRI,,QUERETARO
QUERÉTARO,QUERETARO,6,FUERZA Y CORAZON POR MEXICO,PAN,,QUERETARO
QUINTANA ROO,QUINTANA ROO,1,FUERZA Y CORAZON POR MEXICO,PRD,,QUINTANA ROO
QUINTANA ROO,QUINTANA ROO,2,FUERZA Y CORAZON POR MEXICO,PRI,,QUINTANA ROO
QUINTANA ROO,QUINTANA ROO,3,FUERZA Y CORAZON POR MEXICO,PRI,,QUINTANA ROO
QUINTANA ROO,QUINTANA ROO,4,FUERZA Y CORAZON POR MEXICO,PRD,,QUINTANA ROO
SAN LUIS POTOSÍ,SAN LUIS POTOSI,1,FUERZA Y CORAZON POR MEXICO,PRI,,SAN LUIS POTOSI
SAN LUIS POTOSÍ,SAN LUIS POTOSI,2,FUERZA Y CORAZON POR MEXICO,PRD,,SAN LUIS POTOSI
SAN LUIS POTOSÍ,SAN LUIS POTOSI,3,FUERZA Y CORAZON POR MEXICO,PRI,,SAN LUIS POTOSI
SAN LUIS POTOSÍ,SAN LUIS POTOSI,4,FUERZA Y CORAZON POR MEXICO,PRD,,SAN LUIS POTOSI
SAN LUIS POTOSÍ,SAN LUIS POTOSI,5,FUERZA Y CORAZON POR MEXICO,PAN,,SAN LUIS POTOSI
SAN LUIS POTOSÍ,SAN LUIS POTOSI,6,FUERZA Y CORAZON POR MEXICO,PRI,,SAN LUIS POTOSI
SAN LUIS POTOSÍ,SAN LUIS POTOSI,7,FUERZA Y CORAZON POR MEXICO,PAN,,SAN LUIS POTOSI
SINALOA,SINALOA,1,FUERZA Y CORAZON POR MEXICO,PAN,,SINALOA
SINALOA,SINALOA,2,FUERZA Y CORAZON POR MEXICO,PAN,,SINALOA
SINALOA,SINALOA,3,FUERZA Y CORAZON POR MEXICO,PRI,,SINALOA
SINALOA,SINALOA,4,FUERZA Y CORAZON POR MEXICO,PRD,,SINALOA
SINALOA,SINALOA,5,FUERZA Y CORAZON POR MEXICO,PAN,,SINALOA
SINALOA,SINALOA,6,FUERZA Y CORAZON POR MEXICO,PRI,,SINALOA
SINALOA,SINALOA,7,FUERZA Y CORAZON POR MEXICO,PRI,,SINALOA
SONORA,SONORA,1,FUERZA Y CORAZON POR MEXICO,PAN,,SONORA
SONORA,SONORA,2,FUERZA Y CORAZON POR MEXICO,PRI,,SONORA
SONORA,SONORA,3,FUERZA Y CORAZON POR MEXICO,PAN,,SONORA
SONORA,SONORA,4,FUERZA Y CORAZON POR MEXICO,PRD,,SONORA
SONORA,SONORA,5,FUERZA Y CORAZON POR MEXICO,PRI,,SONORA
SONORA,SONORA,6,FUERZA Y CORAZON POR MEXICO,PAN,,SONORA
SONORA,SONORA,7,FUERZA Y CORAZON POR MEXICO,PRI,,SONORA
TABASCO,TABASCO,1,FUERZA Y CORAZON POR MEXICO,PRD,PAN|PRD|PRI,TABASCO
TABASCO,TABASCO,2,FUERZA Y CORAZON POR MEXICO,PRD,PAN|PRD|PRI,TABASCO
TABASCO,TABASCO,3,FUERZA Y CORAZON POR MEXICO,PRD,PAN|PRD|PRI,TABASCO
TABASCO,TABASCO,4,FUERZA Y CORAZON POR MEXICO,PRI,,TABASCO
TABASCO,TABASCO,5,FUERZA Y CORAZON POR MEXICO,PRD,PAN|PRD|PRI,TABASCO
TABASCO,TABASCO,6,FUERZA Y CORAZON POR MEXICO,PRI,,TABASCO
TAMAULIPAS,TAMAULIPAS,1,FUERZA Y CORAZON POR MEXICO,PAN,,TAMAULIPAS
TAMAULIPAS,TAMAULIPAS,2,FUERZA Y CORAZON POR MEXICO,PAN,,TAMAULIPAS
TAMAULIPAS,TAMAULIPAS,3,FUERZA Y CORAZON POR MEXICO,PRI,,TAMAULIPAS
TAMAULIPAS,TAMAULIPAS,4,FUERZA Y CORAZON POR MEXICO,PRD,,TAMAULIPAS
TAMAULIPAS,TAMAULIPAS,5,FUERZA Y CORAZON POR MEXICO,PRI,,TAMAULIPAS
TAMAULIPAS,TAMAULIPAS,6,FUERZA Y CORAZON POR MEXICO,PAN,,TAMAULIPAS
TAMAULIPAS,TAMAULIPAS,7,FUERZA Y CORAZON POR MEXICO,PRI,,TAMAULIPAS
TAMAULIPAS,TAMAULIPAS,8,FUERZA Y CORAZON POR MEXICO,PAN,,TAMAULIPAS
TLAXCALA,TLAXCALA,1,FUERZA Y CORAZON POR MEXICO,PAN,,TLAXCALA
TLAXCALA,TLAXCALA,2,FUERZA Y CORAZON POR MEXICO,PRI,,TLAXCALA
TLAXCALA,TLAXCALA,3,FUERZA Y CORAZON POR MEXICO,PRD,,TLAXCALA
