entidad_ascii,distrito,coalicion,grupo_parlamentario
CHIAPAS,3,SIGAMOS HACIENDO HISTORIA,MORENA
CHIAPAS,4,FUERZA Y CORAZON POR MEXICO,PRD
CHIAPAS,4,SIGAMOS HACIENDO HISTORIA,MORENA
CHIAPAS,5,FUERZA Y CORAZON POR MEXICO,PRI
CHIAPAS,5,SIGAMOS HACIENDO HISTORIA,MORENA
CHIAPAS,6,FUERZA Y CORAZON POR MEXICO,PRD
CHIAPAS,6,SIGAMOS HACIENDO HISTORIA,MORENA
CHIAPAS,7,FUERZA Y CORAZON POR MEXICO,PRI
CHIAPAS,8,FUERZA Y CORAZON POR MEXICO,PRI
CHIAPAS,8,SIGAMOS HACIENDO HISTORIA,PT
CHIAPAS,9,FUERZA Y CORAZON POR MEXICO,PAN
CHIAPAS,9,SIGAMOS HACIENDO HISTORIA,MORENA
CHIAPAS,10,FUERZA Y CORAZON POR MEXICO,PRD
CHIAPAS,10,SIGAMOS HACIENDO HISTORIA,PVEM
CHIAPAS,11,FUERZA Y CORAZON POR MEXICO,PRD
CHIAPAS,11,SIGAMOS HACIENDO HISTORIA,PVEM
CHIAPAS,12,FUERZA Y CORAZON POR MEXICO,PRD
CHIAPAS,13,FUERZA Y CORAZON POR MEXICO,PRI
CHIAPAS,13,SIGAMOS HACIENDO HISTORIA,PVEM
CHIHUAHUA,1,FUERZA Y CORAZON POR MEXICO,PRD
CHIHUAHUA,1,SIGAMOS HACIENDO HISTORIA,MORENA
CHIHUAHUA,2,FUERZA Y CORAZON POR MEXICO,PRI
CHIHUAHUA,2,SIGAMOS HACIENDO HISTORIA,MORENA
CHIHUAHUA,3,FUERZA Y CORAZON POR MEXICO,PRI
CHIHUAHUA,3,SIGAMOS HACIENDO HISTORIA,PT
CHIHUAHUA,4,FUERZA Y CORAZON POR MEXICO,PAN
CHIHUAHUA,4,SIGAMOS HACIENDO HISTORIA,PVEM
CHIHUAHUA,5,FUERZA Y CORAZON POR MEXICO,PAN
CHIHUAHUA,5,SIGAMOS HACIENDO HISTORIA,MORENA
CHIHUAHUA,6,FUERZA Y CORAZON POR MEXICO,PAN
CHIHUAHUA,6,SIGAMOS HACIENDO HISTORIA,MORENA
CHIHUAHUA,7,FUERZA Y CORAZON POR MEXICO,PAN
CHIHUAHUA,7,SIGAMOS HACIENDO HISTORIA,PT
CHIHUAHUA,8,FUERZA Y CORAZON POR MEXICO,PRI
CHIHUAHUA,8,SIGAMOS HACIENDO HISTORIA,PVEM
CHIHUAHUA,9,FUERZA Y CORAZON POR MEXICO,PRI
CHIHUAHUA,9,SIGAMOS HACIENDO HISTORIA,PVEM
CIUDAD DE MXICO,1,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MXICO,1,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MXICO,2,FUERZA Y CORAZON POR MEXICO,PRI
CIUDAD DE MXICO,2,SIGAMOS HACIENDO HISTORIA,PT
CIUDAD DE MXICO,3,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MXICO,3,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MXICO,4,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MXICO,4,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MXICO,5,FUERZA Y CORAZON POR MEXICO,PRI
CIUDAD DE MXICO,5,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MXICO,6,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MXICO,6,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MXICO,7,FUERZA Y CORAZON POR MEXICO,PRD
CIUDAD DE MXICO,7,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MXICO,8,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MXICO,8,SIGAMOS HACIENDO HISTORIA,PVEM
CIUDAD DE MXICO,9,FUERZA Y CORAZON POR MEXICO,PRI
CIUDAD DE MXICO,9,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MXICO,10,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MXICO,10,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MXICO,11,FUERZA Y CORAZON POR MEXICO,PRD
CIUDAD DE MXICO,11,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MXICO,12,FUERZA Y CORAZON POR MEXICO,PRD
CIUDAD DE MXICO,12,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MXICO,13,FUERZA Y CORAZON POR MEXICO,PRD
CIUDAD DE MXICO,13,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MXICO,14,FUERZA Y CORAZON POR MEXICO,PRD
CIUDAD DE MXICO,14,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MXICO,15,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MXICO,15,SIGAMOS HACIENDO HISTORIA,PVEM
CIUDAD DE MXICO,16,FUERZA Y CORAZON POR MEXICO,PRI
CIUDAD DE MXICO,16,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MXICO,17,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MXICO,17,SIGAMOS HACIENDO HISTORIA,PVEM
CIUDAD DE MXICO,18,FUERZA Y CORAZON POR MEXICO,PRD
CIUDAD DE MXICO,18,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MXICO,19,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MXICO,19,SIGAMOS HACIENDO HISTORIA,PVEM
CIUDAD DE MXICO,20,FUERZA Y CORAZON POR MEXICO,PRD
CIUDAD DE MXICO,20,SIGAMOS HACIENDO HISTORIA,PT
CIUDAD DE MXICO,21,FUERZA Y CORAZON POR MEXICO,PRI
CIUDAD DE MXICO,21,SIGAMOS HACIENDO HISTORIA,MORENA
CIUDAD DE MXICO,22,FUERZA Y CORAZON POR MEXICO,PRD
CIUDAD DE MXICO,22,SIGAMOS HACIENDO HISTORIA,MORENA
COAHUILA,1,FUERZA Y CORAZON POR MEXICO,PRI
COAHUILA,1,SIGAMOS HACIENDO HISTORIA,PT
COAHUILA,2,FUERZA Y CORAZON POR MEXICO,PRI
COAHUILA,2,SIGAMOS HACIENDO HISTORIA,MORENA
COAHUILA,3,FUERZA Y CORAZON POR MEXICO,PAN
COAHUILA,3,SIGAMOS HACIENDO HISTORIA,PT
COAHUILA,4,FUERZA Y CORAZON POR MEXICO,PRI
COAHUILA,4,SIGAMOS HACIENDO HISTORIA,PT
COAHUILA,5,FUERZA Y CORAZON POR MEXICO,PAN
COAHUILA,5,SIGAMOS HACIENDO HISTORIA,PVEM
COAHUILA,6,FUERZA Y CORAZON POR MEXICO,PRI
COAHUILA,6,SIGAMOS HACIENDO HISTORIA,MORENA
COAHUILA,7,FUERZA Y CORAZON POR MEXICO,PRI
COAHUILA,7,SIGAMOS HACIENDO HISTORIA,MORENA
COAHUILA,8,FUERZA Y CORAZON POR MEXICO,PRD
COAHUILA,8,SIGAMOS HACIENDO HISTORIA,PVEM
COLIMA,1,FUERZA Y CORAZON POR MEXICO,PAN
COLIMA,1,SIGAMOS HACIENDO HISTORIA,MORENA
COLIMA,2,FUERZA Y CORAZON POR MEXICO,PRI
COLIMA,2,SIGAMOS HACIENDO HISTORIA,MORENA
DURANGO,1,FUERZA Y CORAZON POR MEXICO,PAN
DURANGO,1,SIGAMOS HACIENDO HISTORIA,MORENA
DURANGO,2,FUERZA Y CORAZON POR MEXICO,PRI
DURANGO,2,SIGAMOS HACIENDO HISTORIA,PT
DURANGO,3,FUERZA Y CORAZON POR MEXICO,PRD
DURANGO,3,SIGAMOS HACIENDO HISTORIA,PVEM
DURANGO,4,FUERZA Y CORAZON POR MEXICO,PAN
DURANGO,4,SIGAMOS HACIENDO HISTORIA,PT
GUANAJUATO,1,FUERZA Y CORAZON POR MEXICO,PRI
GUANAJUATO,1,SIGAMOS HACIENDO HISTORIA,PT
GUANAJUATO,2,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,2,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,3,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,3,SIGAMOS HACIENDO HISTORIA,PVEM
GUANAJUATO,4,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,5,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,5,SIGAMOS HACIENDO HISTORIA,PVEM
GUANAJUATO,6,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,7,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,7,SIGAMOS HACIENDO HISTORIA,PVEM
GUANAJUATO,8,FUERZA Y CORAZON POR MEXICO,PRD
GUANAJUATO,8,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,9,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,9,SIGAMOS HACIENDO HISTORIA,PVEM
GUANAJUATO,10,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,10,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,11,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,12,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,12,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,13,FUERZA Y CORAZON POR MEXICO,PRI
GUANAJUATO,13,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,14,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,14,SIGAMOS HACIENDO HISTORIA,MORENA
GUANAJUATO,15,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,15,SIGAMOS HACIENDO HISTORIA,MORENA
GUERRERO,1,FUERZA Y CORAZON POR MEXICO,PRI
GUERRERO,1,SIGAMOS HACIENDO HISTORIA,MORENA
GUERRERO,2,FUERZA Y CORAZON POR MEXICO,PRD
GUERRERO,2,SIGAMOS HACIENDO HISTORIA,MORENA
GUERRERO,3,FUERZA Y CORAZON POR MEXICO,PRD
GUERRERO,3,SIGAMOS HACIENDO HISTORIA,PVEM
GUERRERO,4,FUERZA Y CORAZON POR MEXICO,PRD
GUERRERO,4,SIGAMOS HACIENDO HISTORIA,MORENA
GUERRERO,5,FUERZA Y CORAZON POR MEXICO,PRD
GUERRERO,5,SIGAMOS HACIENDO HISTORIA,PT
GUERRERO,6,FUERZA Y CORAZON POR MEXICO,PRI
GUERRERO,6,SIGAMOS HACIENDO HISTORIA,PVEM
GUERRERO,7,FUERZA Y CORAZON POR MEXICO,PAN
GUERRERO,7,SIGAMOS HACIENDO HISTORIA,MORENA
GUERRERO,8,FUERZA Y CORAZON POR MEXICO,PRI
GUERRERO,8,SIGAMOS HACIENDO HISTORIA,PVEM
HIDALGO,1,FUERZA Y CORAZON POR MEXICO,PRI
HIDALGO,2,FUERZA Y CORAZON POR MEXICO,PRD
HIDALGO,2,SIGAMOS HACIENDO HISTORIA,PVEM
HIDALGO,3,FUERZA Y CORAZON POR MEXICO,PRD
HIDALGO,4,FUERZA Y CORAZON POR MEXICO,PRI
HIDALGO,5,FUERZA Y CORAZON POR MEXICO,PAN
HIDALGO,6,FUERZA Y CORAZON POR MEXICO,PRI
HIDALGO,7,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,1,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,1,SIGAMOS HACIENDO HISTORIA,PT
JALISCO,2,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,2,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,3,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,4,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,4,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,5,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,6,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,6,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,7,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,7,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,8,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,8,SIGAMOS HACIENDO HISTORIA,PT
JALISCO,9,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,9,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,10,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,10,SIGAMOS HACIENDO HISTORIA,PVEM
JALISCO,11,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,11,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,12,FUERZA Y CORAZON POR MEXICO,PRD
JALISCO,12,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,13,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,13,SIGAMOS HACIENDO HISTORIA,PT
JALISCO,14,FUERZA Y CORAZON POR MEXICO,PRD
JALISCO,14,SIGAMOS HACIENDO HISTORIA,PVEM
JALISCO,15,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,15,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,16,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,16,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,17,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,17,SIGAMOS HACIENDO HISTORIA,PVEM
JALISCO,18,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,18,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,19,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,19,SIGAMOS HACIENDO HISTORIA,MORENA
JALISCO,20,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,20,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,1,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,1,SIGAMOS HACIENDO HISTORIA,PVEM
MEXICO,2,FUERZA Y CORAZON POR MEXICO,PRD
MEXICO,2,SIGAMOS HACIENDO HISTORIA,PT
MEXICO,3,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,3,SIGAMOS HACIENDO HISTORIA,PT
MEXICO,4,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,4,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,5,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,5,SIGAMOS HACIENDO HISTORIA,PT
MEXICO,6,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,6,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,7,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,7,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,8,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,8,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,9,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,9,SIGAMOS HACIENDO HISTORIA,PVEM
MEXICO,10,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,10,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,11,FUERZA Y CORAZON POR MEXICO,PRD
MEXICO,11,MORENA,MORENA
MEXICO,12,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,12,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,13,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,13,MORENA,MORENA
MEXICO,14,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,14,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,15,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,15,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,16,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,16,SIGAMOS HACIENDO HISTORIA,PT
MEXICO,17,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,17,MORENA,MORENA
MEXICO,18,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,18,SIGAMOS HACIENDO HISTORIA,PVEM
MEXICO,19,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,19,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,20,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,20,SIGAMOS HACIENDO HISTORIA,PVEM
MEXICO,21,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,21,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,22,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,22,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,23,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,23,SIGAMOS HACIENDO HISTORIA,PVEM
MEXICO,24,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,24,SIGAMOS HACIENDO HISTORIA,PVEM
MEXICO,25,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,26,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,26,SIGAMOS HACIENDO HISTORIA,PVEM
MEXICO,27,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,27,SIGAMOS HACIENDO HISTORIA,PT
MEXICO,28,FUERZA Y CORAZON POR MEXICO,PRD
MEXICO,28,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,29,FUERZA Y CORAZON POR MEXICO,PRD
MEXICO,29,MORENA,MORENA
MEXICO,30,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,30,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,31,FUERZA Y CORAZON POR MEXICO,PRD
MEXICO,31,MORENA,MORENA
MEXICO,32,SIGAMOS HACIENDO HISTORIA,PT
MEXICO,33,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,33,MORENA,MORENA
MEXICO,34,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,34,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,35,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,35,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,36,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,36,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,37,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,37,SIGAMOS HACIENDO HISTORIA,MORENA
MEXICO,38,FUERZA Y CORAZON POR MEXICO,PRD
MEXICO,38,SIGAMOS HACIENDO HISTORIA,PVEM
MEXICO,39,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,39,SIGAMOS HACIENDO HISTORIA,PT
MEXICO,40,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,40,SIGAMOS HACIENDO HISTORIA,PVEM
MICHOACAN,1,FUERZA Y CORAZON POR MEXICO,PRI
MICHOACAN,2,FUERZA Y CORAZON POR MEXICO,PRD
MICHOACAN,3,FUERZA Y CORAZON POR MEXICO,PRD
MICHOACAN,3,SIGAMOS HACIENDO HISTORIA,PT
MICHOACAN,4,FUERZA Y CORAZON POR MEXICO,PAN
MICHOACAN,4,SIGAMOS HACIENDO HISTORIA,MORENA
MICHOACAN,5,FUERZA Y CORAZON POR MEXICO,PAN
MICHOACAN,5,SIGAMOS HACIENDO HISTORIA,MORENA
MICHOACAN,6,FUERZA Y CORAZON POR MEXICO,PRI
MICHOACAN,6,SIGAMOS HACIENDO HISTORIA,PT
MICHOACAN,7,FUERZA Y CORAZON POR MEXICO,PRD
MICHOACAN,7,SIGAMOS HACIENDO HISTORIA,MORENA
MICHOACAN,8,FUERZA Y CORAZON POR MEXICO,PRI
MICHOACAN,8,SIGAMOS HACIENDO HISTORIA,PVEM
MICHOACAN,9,FUERZA Y CORAZON POR MEXICO,PAN
MICHOACAN,9,SIGAMOS HACIENDO HISTORIA,PVEM
MICHOACAN,10,FUERZA Y CORAZON POR MEXICO,PAN
MICHOACAN,10,SIGAMOS HACIENDO HISTORIA,MORENA
MICHOACAN,11,FUERZA Y CORAZON POR MEXICO,PRD
MICHOACAN,11,SIGAMOS HACIENDO HISTORIA,PT
MORELOS,1,FUERZA Y CORAZON POR MEXICO,PAN
MORELOS,1,SIGAMOS HACIENDO HISTORIA,MORENA
MORELOS,2,FUERZA Y CORAZON POR MEXICO,PAN
MORELOS,2,SIGAMOS HACIENDO HISTORIA,MORENA
MORELOS,3,FUERZA Y CORAZON POR MEXICO,PRD
MORELOS,3,SIGAMOS HACIENDO HISTORIA,PVEM
MORELOS,4,FUERZA Y CORAZON POR MEXICO,PRD
MORELOS,4,SIGAMOS HACIENDO HISTORIA,MORENA
MORELOS,5,FUERZA Y CORAZON POR MEXICO,PRI
MORELOS,5,SIGAMOS HACIENDO HISTORIA,MORENA
NAYARIT,1,FUERZA Y CORAZON POR MEXICO,PRI
NAYARIT,1,SIGAMOS HACIENDO HISTORIA,MORENA
NAYARIT,2,FUERZA Y CORAZON POR MEXICO,PRD
NAYARIT,2,SIGAMOS HACIENDO HISTORIA,MORENA
NAYARIT,3,FUERZA Y CORAZON POR MEXICO,PAN
NAYARIT,3,SIGAMOS HACIENDO HISTORIA,PT
NUEVO LEON,1,FUERZA Y CORAZON POR MEXICO,PAN
NUEVO LEON,1,SIGAMOS HACIENDO HISTORIA,PVEM
NUEVO LEON,2,FUERZA Y CORAZON POR MEXICO,PRI
NUEVO LEON,2,SIGAMOS HACIENDO HISTORIA,MORENA
NUEVO LEON,3,FUERZA Y CORAZON POR MEXICO,PAN
NUEVO LEON,3,SIGAMOS HACIENDO HISTORIA,PT
NUEVO LEON,4,FUERZA Y CORAZON POR MEXICO,PAN
NUEVO LEON,4,SIGAMOS HACIENDO HISTORIA,MORENA
NUEVO LEON,5,FUERZA Y CORAZON POR MEXICO,PRI
NUEVO LEON,5,SIGAMOS HACIENDO HISTORIA,PT
NUEVO LEON,6,FUERZA Y CORAZON POR MEXICO,PAN
NUEVO LEON,6,SIGAMOS HACIENDO HISTORIA,PT
NUEVO LEON,7,FUERZA Y CORAZON POR MEXICO,PRD
NUEVO LEON,7,SIGAMOS HACIENDO HISTORIA,PVEM
NUEVO LEON,8,FUERZA Y CORAZON POR MEXICO,PRI
NUEVO LEON,8,SIGAMOS HACIENDO HISTORIA,MORENA
NUEVO LEON,9,FUERZA Y CORAZON POR MEXICO,PRI
NUEVO LEON,9,SIGAMOS HACIENDO HISTORIA,PT
NUEVO LEON,10,FUERZA Y CORAZON POR MEXICO,PRI
NUEVO LEON,10,SIGAMOS HACIENDO HISTORIA,MORENA
NUEVO LEON,11,FUERZA Y CORAZON POR MEXICO,PAN
NUEVO LEON,11,SIGAMOS HACIENDO HISTORIA,MORENA
NUEVO LEON,12,FUERZA Y CORAZON POR MEXICO,PRI
NUEVO LEON,12,SIGAMOS HACIENDO HISTORIA,PVEM
NUEVO LEON,13,FUERZA Y CORAZON POR MEXICO,PAN
NUEVO LEON,13,SIGAMOS HACIENDO HISTORIA,PVEM
NUEVO LEON,14,FUERZA Y CORAZON POR MEXICO,PAN
NUEVO LEON,14,SIGAMOS HACIENDO HISTORIA,PT
OAXACA,1,FUERZA Y CORAZON POR MEXICO,PRI
OAXACA,1,SIGAMOS HACIENDO HISTORIA,MORENA
OAXACA,2,FUERZA Y CORAZON POR MEXICO,PRD
OAXACA,2,SIGAMOS HACIENDO HISTORIA,MORENA
OAXACA,3,FUERZA Y CORAZON POR MEXICO,PAN
OAXACA,3,SIGAMOS HACIENDO HISTORIA,PT
OAXACA,4,FUERZA Y CORAZON POR MEXICO,PRI
OAXACA,5,FUERZA Y CORAZON POR MEXICO,PAN
OAXACA,6,FUERZA Y CORAZON POR MEXICO,PRI
OAXACA,6,SIGAMOS HACIENDO HISTORIA,PT
OAXACA,7,FUERZA Y CORAZON POR MEXICO,PRI
OAXACA,7,SIGAMOS HACIENDO HISTORIA,PVEM
OAXACA,8,FUERZA Y CORAZON POR MEXICO,PRI
OAXACA,8,SIGAMOS HACIENDO HISTORIA,PVEM
OAXACA,9,FUERZA Y CORAZON POR MEXICO,PRD
OAXACA,9,SIGAMOS HACIENDO HISTORIA,PVEM
OAXACA,10,FUERZA Y CORAZON POR MEXICO,PAN
PUEBLA,1,FUERZA Y CORAZON POR MEXICO,PRI
PUEBLA,1,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,2,FUERZA Y CORAZON POR MEXICO,PRI
PUEBLA,2,SIGAMOS HACIENDO HISTORIA,PVEM
PUEBLA,3,FUERZA Y CORAZON POR MEXICO,PRI
PUEBLA,3,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,4,FUERZA Y CORAZON POR MEXICO,PRI
PUEBLA,4,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,5,FUERZA Y CORAZON POR MEXICO,PRD
PUEBLA,5,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,6,FUERZA Y CORAZON POR MEXICO,PRD
PUEBLA,6,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,7,FUERZA Y CORAZON POR MEXICO,PRD
PUEBLA,7,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,8,FUERZA Y CORAZON POR MEXICO,PRI
PUEBLA,8,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,9,FUERZA Y CORAZON POR MEXICO,PAN
PUEBLA,9,SIGAMOS HACIENDO HISTORIA,PVEM
PUEBLA,10,FUERZA Y CORAZON POR MEXICO,PAN
PUEBLA,10,SIGAMOS HACIENDO HISTORIA,MORENA
PUEBLA,11,FUERZA Y CORAZON POR MEXICO,PRI
PUEBLA,11,SIGAMOS HACIENDO HISTORIA,PT
PUEBLA,12,FUERZA Y CORAZON POR MEXICO,PAN
