entidad,entidad_ascii,distrito,coalicion,grupo_parlamentario
JALISCO,JALISCO,14,FUERZA Y CORAZON POR MEXICO,PRD
JALISCO,JALISCO,12,FUERZA Y CORAZON POR MEXICO,PRD
JALISCO,JALISCO,11,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,JALISCO,13,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,JALISCO,15,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,JALISCO,16,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,JALISCO,17,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,JALISCO,18,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,JALISCO,19,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,JALISCO,20,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,MEXICO,1,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,MEXICO,2,FUERZA Y CORAZON POR MEXICO,PRD
MEXICO,MEXICO,3,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,MEXICO,4,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,MEXICO,5,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,MEXICO,6,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,MEXICO,7,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,MEXICO,8,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,MEXICO,9,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,MEXICO,10,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,MEXICO,11,FUERZA Y CORAZON POR MEXICO,PRD
MEXICO,MEXICO,12,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,MEXICO,13,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,MEXICO,14,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,MEXICO,15,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,MEXICO,16,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,MEXICO,17,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,MEXICO,18,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,MEXICO,19,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,MEXICO,20,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,MEXICO,21,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,MEXICO,22,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,MEXICO,23,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,MEXICO,24,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,MEXICO,26,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,MEXICO,27,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,MEXICO,28,FUERZA Y CORAZON POR MEXICO,PRD
MEXICO,MEXICO,29,FUERZA Y CORAZON POR MEXICO,PRD
MEXICO,MEXICO,30,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,MEXICO,31,FUERZA Y CORAZON POR MEXICO,PRD
MEXICO,MEXICO,33,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,MEXICO,34,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,MEXICO,35,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,MEXICO,36,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,MEXICO,37,FUERZA Y CORAZON POR MEXICO,PAN
MEXICO,MEXICO,38,FUERZA Y CORAZON POR MEXICO,PRD
MEXICO,MEXICO,39,FUERZA Y CORAZON POR MEXICO,PRI
MEXICO,MEXICO,40,FUERZA Y CORAZON POR MEXICO,PAN
MICHOACÁN,MICHOACAN,1,FUERZA Y CORAZON POR MEXICO,PRI
MICHOACÁN,MICHOACAN,2,FUERZA Y CORAZON POR MEXICO,PRD
MICHOACÁN,MICHOACAN,3,FUERZA Y CORAZON POR MEXICO,PRD
MICHOACÁN,MICHOACAN,4,FUERZA Y CORAZON POR MEXICO,PAN
MICHOACÁN,MICHOACAN,5,FUERZA Y CORAZON POR MEXICO,PAN
MICHOACÁN,MICHOACAN,6,FUERZA Y CORAZON POR MEXICO,PRI
MICHOACÁN,MICHOACAN,7,FUERZA Y CORAZON POR MEXICO,PRD
MICHOACÁN,MICHOACAN,8,FUERZA Y CORAZON POR MEXICO,PRI
MICHOACÁN,MICHOACAN,9,FUERZA Y CORAZON POR MEXICO,PAN
MICHOACÁN,MICHOACAN,10,FUERZA Y CORAZON POR MEXICO,PAN
MICHOACÁN,MICHOACAN,11,FUERZA Y CORAZON POR MEXICO,PRD
MORELOS,MORELOS,1,FUERZA Y CORAZON POR MEXICO,PAN
MORELOS,MORELOS,2,FUERZA Y CORAZON POR MEXICO,PAN
MORELOS,MORELOS,3,FUERZA Y CORAZON POR MEXICO,PRD
MORELOS,MORELOS,4,FUERZA Y CORAZON POR MEXICO,PRD
MORELOS,MORELOS,5,FUERZA Y CORAZON POR MEXICO,PRI
NAYARIT,NAYARIT,1,FUERZA Y CORAZON POR MEXICO,PRI
NAYARIT,NAYARIT,2,FUERZA Y CORAZON POR MEXICO,PRD
NAYARIT,NAYARIT,3,FUERZA Y CORAZON POR MEXICO,PAN
NUEVO LEÓN,NUEVO LEON,1,FUERZA Y CORAZON POR MEXICO,PAN
NUEVO LEÓN,NUEVO LEON,2,FUERZA Y CORAZON POR MEXICO,PRI
NUEVO LEÓN,NUEVO LEON,3,FUERZA Y CORAZON POR MEXICO,PAN
NUEVO LEÓN,NUEVO LEON,4,FUERZA Y CORAZON POR MEXICO,PAN
NUEVO LEÓN,NUEVO LEON,5,FUERZA Y CORAZON POR MEXICO,PRI
NUEVO LEÓN,NUEVO LEON,6,FUERZA Y CORAZON POR MEXICO,PAN
NUEVO LEÓN,NUEVO LEON,7,FUERZA Y CORAZON POR MEXICO,PRD
NUEVO LEÓN,NUEVO LEON,8,FUERZA Y CORAZON POR MEXICO,PRI
NUEVO LEÓN,NUEVO LEON,9,FUERZA Y CORAZON POR MEXICO,PRI
NUEVO LEÓN,NUEVO LEON,10,FUERZA Y CORAZON POR MEXICO,PRI
NUEVO LEÓN,NUEVO LEON,11,FUERZA Y CORAZON POR MEXICO,PAN
NUEVO LEÓN,NUEVO LEON,12,FUERZA Y CORAZON POR MEXICO,PRI
NUEVO LEÓN,NUEVO LEON,13,FUERZA Y CORAZON POR MEXICO,PAN
NUEVO LEÓN,NUEVO LEON,14,FUERZA Y CORAZON POR MEXICO,PAN
OAXACA,OAXACA,1,FUERZA Y CORAZON POR MEXICO,PRI
OAXACA,OAXACA,2,FUERZA Y CORAZON POR MEXICO,PRD
OAXACA,OAXACA,3,FUERZA Y CORAZON POR MEXICO,PAN
OAXACA,OAXACA,4,FUERZA Y CORAZON POR MEXICO,PRI
OAXACA,OAXACA,5,FUERZA Y CORAZON POR MEXICO,PAN
OAXACA,OAXACA,6,FUERZA Y CORAZON POR MEXICO,PRI
OAXACA,OAXACA,7,FUERZA Y CORAZON POR MEXICO,PRI
OAXACA,OAXACA,8,FUERZA Y CORAZON POR MEXICO,PRI
OAXACA,OAXACA,9,FUERZA Y CORAZON POR MEXICO,PRD
OAXACA,OAXACA,10,FUERZA Y CORAZON POR MEXICO,PAN
PUEBLA,PUEBLA,1,FUERZA Y CORAZON POR MEXICO,PRI
PUEBLA,PUEBLA,2,FUERZA Y CORAZON POR MEXICO,PRI
PUEBLA,PUEBLA,3,FUERZA Y CORAZON POR MEXICO,PRI
PUEBLA,PUEBLA,4,FUERZA Y CORAZON POR MEXICO,PRI
PUEBLA,PUEBLA,5,FUERZA Y CORAZON POR MEXICO,PRD
PUEBLA,PUEBLA,6,FUERZA Y CORAZON POR MEXICO,PRD
PUEBLA,PUEBLA,7,FUERZA Y CORAZON POR MEXICO,PRD
PUEBLA,PUEBLA,8,FUERZA Y CORAZON POR MEXICO,PRI
PUEBLA,PUEBLA,9,FUERZA Y CORAZON POR MEXICO,PAN
PUEBLA,PUEBLA,11,FUERZA Y CORAZON POR MEXICO,PRI
PUEBLA,PUEBLA,12,FUERZA Y CORAZON POR MEXICO,PAN
PUEBLA,PUEBLA,10,FUERZA Y CORAZON POR MEXICO,PAN
PUEBLA,PUEBLA,13,FUERZA Y CORAZON POR MEXICO,PAN
PUEBLA,PUEBLA,14,FUERZA Y CORAZON POR MEXICO,PRI
PUEBLA,PUEBLA,15,FUERZA Y CORAZON POR MEXICO,PAN
PUEBLA,PUEBLA,16,FUERZA Y CORAZON POR MEXICO,PRD
QUERÉTARO,QUERETARO,1,FUERZA Y CORAZON POR MEXICO,PRI
QUERÉTARO,QUERETARO,2,FUERZA Y CORAZON POR MEXICO,PAN
QUERÉTARO,QUERETARO,3,FUERZA Y CORAZON POR MEXICO,PAN
QUERÉTARO,QUERETARO,4,FUERZA Y CORAZON POR MEXICO,PAN
QUERÉTARO,QUERETARO,5,FUERZA Y CORAZON POR MEXICO,PRI
QUERÉTARO,QUERETARO,6,FUERZA Y CORAZON POR MEXICO,PAN
QUINTANA ROO,QUINTANA ROO,1,FUERZA Y CORAZON POR MEXICO,PRD
QUINTANA ROO,QUINTANA ROO,2,FUERZA Y CORAZON POR MEXICO,PRI
QUINTANA ROO,QUINTANA ROO,3,FUERZA Y CORAZON POR MEXICO,PRI
QUINTANA ROO,QUINTANA ROO,4,FUERZA Y CORAZON POR MEXICO,PRD
SAN LUIS POTOSÍ,SAN LUIS POTOSI,1,FUERZA Y CORAZON POR MEXICO,PRI
SAN LUIS POTOSÍ,SAN LUIS POTOSI,2,FUERZA Y CORAZON POR MEXICO,PRD
SAN LUIS POTOSÍ,SAN LUIS POTOSI,3,FUERZA Y CORAZON POR MEXICO,PRI
SAN LUIS POTOSÍ,SAN LUIS POTOSI,4,FUERZA Y CORAZON POR MEXICO,PRD
SAN LUIS POTOSÍ,SAN LUIS POTOSI,5,FUERZA Y CORAZON POR MEXICO,PAN
SAN LUIS POTOSÍ,SAN LUIS POTOSI,6,FUERZA Y CORAZON POR MEXICO,PRI
SAN LUIS POTOSÍ,SAN LUIS POTOSI,7,FUERZA Y CORAZON POR MEXICO,PAN
SINALOA,SINALOA,1,FUERZA Y CORAZON POR MEXICO,PAN
SINALOA,SINALOA,2,FUERZA Y CORAZON POR MEXICO,PAN
SINALOA,SINALOA,3,FUERZA Y CORAZON POR MEXICO,PRI
SINALOA,SINALOA,4,FUERZA Y CORAZON POR MEXICO,PRD
SINALOA,SINALOA,5,FUERZA Y CORAZON POR MEXICO,PAN
SINALOA,SINALOA,6,FUERZA Y CORAZON POR MEXICO,PRI
SINALOA,SINALOA,7,FUERZA Y CORAZON POR MEXICO,PRI
SONORA,SONORA,1,FUERZA Y CORAZON POR MEXICO,PAN
SONORA,SONORA,2,FUERZA Y CORAZON POR MEXICO,PRI
SONORA,SONORA,3,FUERZA Y CORAZON POR MEXICO,PAN
SONORA,SONORA,4,FUERZA Y CORAZON POR MEXICO,PRD
SONORA,SONORA,5,FUERZA Y CORAZON POR MEXICO,PRI
SONORA,SONORA,6,FUERZA Y CORAZON POR MEXICO,PAN
SONORA,SONORA,7,FUERZA Y CORAZON POR MEXICO,PRI
TABASCO,TABASCO,1,FUERZA Y CORAZON POR MEXICO,PRD
TABASCO,TABASCO,2,FUERZA Y CORAZON POR MEXICO,PRD
TABASCO,TABASCO,3,FUERZA Y CORAZON POR MEXICO,PRD
TABASCO,TABASCO,4,FUERZA Y CORAZON POR MEXICO,PRI
TABASCO,TABASCO,5,FUERZA Y CORAZON POR MEXICO,PRD
TABASCO,TABASCO,6,FUERZA Y CORAZON POR MEXICO,PRI
TAMAULIPAS,TAMAULIPAS,1,FUERZA Y CORAZON POR MEXICO,PAN
TAMAULIPAS,TAMAULIPAS,2,FUERZA Y CORAZON POR MEXICO,PAN
TAMAULIPAS,TAMAULIPAS,3,FUERZA Y CORAZON POR MEXICO,PRI
TAMAULIPAS,TAMAULIPAS,4,FUERZA Y CORAZON POR MEXICO,PRD
TAMAULIPAS,TAMAULIPAS,5,FUERZA Y CORAZON POR MEXICO,PRI
TAMAULIPAS,TAMAULIPAS,6,FUERZA Y CORAZON POR MEXICO,PAN
TAMAULIPAS,TAMAULIPAS,7,FUERZA Y CORAZON POR MEXICO,PRI
TAMAULIPAS,TAMAULIPAS,8,FUERZA Y CORAZON POR MEXICO,PAN
TLAXCALA,TLAXCALA,1,FUERZA Y CORAZON POR MEXICO,PAN
TLAXCALA,TLAXCALA,2,FUERZA Y CORAZON POR MEXICO,PRI
TLAXCALA,TLAXCALA,3,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,VERACRUZ,1,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,VERACRUZ,2,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,VERACRUZ,3,FUERZA Y CORAZON POR MEXICO,PRI
VERACRUZ,VERACRUZ,4,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,VERACRUZ,5,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,VERACRUZ,6,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,VERACRUZ,7,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,VERACRUZ,8,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,VERACRUZ,9,FUERZA Y CORAZON POR MEXICO,PRI
VERACRUZ,VERACRUZ,10,FUERZA Y CORAZON POR MEXICO,PRI
VERACRUZ,VERACRUZ,11,FUERZA Y CORAZON POR MEXICO,PRI
VERACRUZ,VERACRUZ,12,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,VERACRUZ,13,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,VERACRUZ,14,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,VERACRUZ,15,FUERZA Y CORAZON POR MEXICO,PRI
VERACRUZ,VERACRUZ,16,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,VERACRUZ,17,FUERZA Y CORAZON POR MEXICO,PAN
VERACRUZ,VERACRUZ,18,FUERZA Y CORAZON POR MEXICO,PRD
VERACRUZ,VERACRUZ,19,FUERZA Y CORAZON POR MEXICO,PRD
YUCATÁN,YUCATAN,1,FUERZA Y CORAZON POR MEXICO,PAN
YUCATÁN,YUCATAN,2,FUERZA Y CORAZON POR MEXICO,PAN
YUCATÁN,YUCATAN,3,FUERZA Y CORAZON POR MEXICO,PRI
YUCATÁN,YUCATAN,4,FUERZA Y CORAZON POR MEXICO,PAN
YUCATÁN,YUCATAN,5,FUERZA Y CORAZON POR MEXICO,PRI
YUCATÁN,YUCATAN,6,FUERZA Y CORAZON POR MEXICO,PAN
ZACATECAS,ZACATECAS,1,FUERZA Y CORAZON POR MEXICO,PRI
ZACATECAS,ZACATECAS,2,FUERZA Y CORAZON POR MEXICO,PAN
ZACATECAS,ZACATECAS,3,FUERZA Y CORAZON POR MEXICO,PRD
ZACATECAS,ZACATECAS,4,FUERZA Y CORAZON POR MEXICO,PRI
AGUASCALIENTES,AGUASCALIENTES,1,SIGAMOS HACIENDO HISTORIA,PVEM
AGUASCALIENTES,AGUASCALIENTES,2,SIGAMOS HACIENDO HISTORIA,MORENA
AGUASCALIENTES,AGUASCALIENTES,3,SIGAMOS HACIENDO HISTORIA,MORENA
BAJA CALIFORNIA,BAJA CALIFORNIA,8,SIGAMOS HACIENDO HISTORIA,PVEM
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,1,SIGAMOS HACIENDO HISTORIA,PVEM
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,2,SIGAMOS HACIENDO HISTORIA,PT
CAMPECHE,CAMPECHE,1,SIGAMOS HACIENDO HISTORIA,MORENA
CAMPECHE,CAMPECHE,2,SIGAMOS HACIENDO HISTORIA,MORENA
COAHUILA,COAHUILA,1,SIGAMOS HACIENDO HISTORIA,PT
COAHUILA,COAHUILA,2,SIGAMOS HACIENDO HISTORIA,MORENA
COAHUILA,COAHUILA,3,SIGAMOS HACIENDO HISTORIA,PT
COAHUILA,COAHUILA,4,SIGAMOS HACIENDO HISTORIA,PT
COAHUILA,COAHUILA,5,SIGAMOS HACIENDO HISTORIA,PVEM
COAHUILA,COAHUILA,6,SIGAMOS HACIENDO HISTORIA,MORENA
COAHUILA,COAHUILA,7,SIGAMOS HACIENDO HISTORIA,MORENA
COAHUILA,COAHUILA,8,SIGAMOS HACIENDO HISTORIA,PVEM
COLIMA,COLIMA,1,SIGAMOS HACIENDO HISTORIA,MORENA
COLIMA,COLIMA,2,SIGAMOS HACIENDO HISTORIA,MORENA
CHIAPAS,CHIAPAS,1,SIGAMOS HACIENDO HISTORIA,PT
CHIAPAS,CHIAPAS,2,SIGAMOS HACIENDO HISTORIA,MORENA
CHIAPAS,CHIAPAS,3,SIGAMOS HACIENDO HISTORIA,MORENA
CHIAPAS,CHIAPAS,4,SIGAMOS HACIENDO HISTORIA,MORENA
CHIAPAS,CHIAPAS,5,SIGAMOS HACIENDO HISTORIA,MORENA
CHIAPAS,CHIAPAS,6,SIGAMOS HACIENDO HISTORIA,MORENA
CHIAPAS,CHIAPAS,8,SIGAMOS HACIENDO HISTORIA,PT
CHIAPAS,CHIAPAS,9,SIGAMOS HACIENDO HISTORIA,MORENA
CHIAPAS,CHIAPAS,10,SIGAMOS HACIENDO HISTORIA,PVEM
CHIAPAS,CHIAPAS,11,SIGAMOS HACIENDO HISTORIA,PVEM
CHIAPAS,CHIAPAS,13,SIGAMOS HACIENDO HISTORIA,PVEM
CHIHUAHUA,CHIHUAHUA,1,SIGAMOS HACIENDO HISTORIA,MORENA
CHIHUAHUA,CHIHUAHUA,2,SIGAMOS HACIENDO HISTORIA,MORENA
CHIHUAHUA,CHIHUAHUA,3,SIGAMOS HACIENDO HISTORIA,PT
